id,target
boostcamp-sts-v1-test-000,3.9
boostcamp-sts-v1-test-001,4.3
boostcamp-sts-v1-test-002,2.1
boostcamp-sts-v1-test-003,0.3
boostcamp-sts-v1-test-004,3.3
boostcamp-sts-v1-test-005,2.9
boostcamp-sts-v1-test-006,4.1
boostcamp-sts-v1-test-007,1.6
boostcamp-sts-v1-test-008,0.1
boostcamp-sts-v1-test-009,4.9
boostcamp-sts-v1-test-010,1.5
boostcamp-sts-v1-test-011,2.6
boostcamp-sts-v1-test-012,3.0
boostcamp-sts-v1-test-013,2.1
boostcamp-sts-v1-test-014,1.2
boostcamp-sts-v1-test-015,4.5
boostcamp-sts-v1-test-016,5.1
boostcamp-sts-v1-test-017,2.8
boostcamp-sts-v1-test-018,5.0
boostcamp-sts-v1-test-019,4.3
boostcamp-sts-v1-test-020,2.8
boostcamp-sts-v1-test-021,2.5
boostcamp-sts-v1-test-022,2.3
boostcamp-sts-v1-test-023,0.8
boostcamp-sts-v1-test-024,1.6
boostcamp-sts-v1-test-025,2.7
boostcamp-sts-v1-test-026,1.3
boostcamp-sts-v1-test-027,1.1
boostcamp-sts-v1-test-028,3.7
boostcamp-sts-v1-test-029,2.7
boostcamp-sts-v1-test-030,4.4
boostcamp-sts-v1-test-031,0.5
boostcamp-sts-v1-test-032,2.3
boostcamp-sts-v1-test-033,2.3
boostcamp-sts-v1-test-034,2.8
boostcamp-sts-v1-test-035,0.4
boostcamp-sts-v1-test-036,3.4
boostcamp-sts-v1-test-037,0.2
boostcamp-sts-v1-test-038,1.4
boostcamp-sts-v1-test-039,3.3
boostcamp-sts-v1-test-040,0.4
boostcamp-sts-v1-test-041,4.0
boostcamp-sts-v1-test-042,0.4
boostcamp-sts-v1-test-043,1.3
boostcamp-sts-v1-test-044,2.8
boostcamp-sts-v1-test-045,5.4
boostcamp-sts-v1-test-046,2.2
boostcamp-sts-v1-test-047,2.1
boostcamp-sts-v1-test-048,0.1
boostcamp-sts-v1-test-049,3.6
boostcamp-sts-v1-test-050,-0.0
boostcamp-sts-v1-test-051,1.8
boostcamp-sts-v1-test-052,2.8
boostcamp-sts-v1-test-053,3.1
boostcamp-sts-v1-test-054,4.3
boostcamp-sts-v1-test-055,2.0
boostcamp-sts-v1-test-056,3.6
boostcamp-sts-v1-test-057,1.0
boostcamp-sts-v1-test-058,2.3
boostcamp-sts-v1-test-059,3.6
boostcamp-sts-v1-test-060,4.3
boostcamp-sts-v1-test-061,3.7
boostcamp-sts-v1-test-062,1.9
boostcamp-sts-v1-test-063,2.1
boostcamp-sts-v1-test-064,2.1
boostcamp-sts-v1-test-065,4.3
boostcamp-sts-v1-test-066,3.2
boostcamp-sts-v1-test-067,0.8
boostcamp-sts-v1-test-068,2.6
boostcamp-sts-v1-test-069,2.7
boostcamp-sts-v1-test-070,0.6
boostcamp-sts-v1-test-071,3.0
boostcamp-sts-v1-test-072,5.2
boostcamp-sts-v1-test-073,4.7
boostcamp-sts-v1-test-074,0.2
boostcamp-sts-v1-test-075,1.6
boostcamp-sts-v1-test-076,2.9
boostcamp-sts-v1-test-077,2.2
boostcamp-sts-v1-test-078,2.3
boostcamp-sts-v1-test-079,4.0
boostcamp-sts-v1-test-080,1.2
boostcamp-sts-v1-test-081,3.6
boostcamp-sts-v1-test-082,1.7
boostcamp-sts-v1-test-083,2.1
boostcamp-sts-v1-test-084,1.0
boostcamp-sts-v1-test-085,5.2
boostcamp-sts-v1-test-086,4.2
boostcamp-sts-v1-test-087,1.5
boostcamp-sts-v1-test-088,4.1
boostcamp-sts-v1-test-089,3.8
boostcamp-sts-v1-test-090,4.9
boostcamp-sts-v1-test-091,2.1
boostcamp-sts-v1-test-092,0.7
boostcamp-sts-v1-test-093,1.8
boostcamp-sts-v1-test-094,4.7
boostcamp-sts-v1-test-095,1.6
boostcamp-sts-v1-test-096,2.1
boostcamp-sts-v1-test-097,3.1
boostcamp-sts-v1-test-098,0.5
boostcamp-sts-v1-test-099,3.7
boostcamp-sts-v1-test-100,1.9
boostcamp-sts-v1-test-101,5.1
boostcamp-sts-v1-test-102,5.2
boostcamp-sts-v1-test-103,3.6
boostcamp-sts-v1-test-104,4.2
boostcamp-sts-v1-test-105,0.5
boostcamp-sts-v1-test-106,3.6
boostcamp-sts-v1-test-107,3.5
boostcamp-sts-v1-test-108,2.6
boostcamp-sts-v1-test-109,3.7
boostcamp-sts-v1-test-110,3.2
boostcamp-sts-v1-test-111,0.1
boostcamp-sts-v1-test-112,-0.0
boostcamp-sts-v1-test-113,2.9
boostcamp-sts-v1-test-114,1.0
boostcamp-sts-v1-test-115,2.3
boostcamp-sts-v1-test-116,0.1
boostcamp-sts-v1-test-117,5.2
boostcamp-sts-v1-test-118,2.9
boostcamp-sts-v1-test-119,3.6
boostcamp-sts-v1-test-120,4.4
boostcamp-sts-v1-test-121,2.0
boostcamp-sts-v1-test-122,1.8
boostcamp-sts-v1-test-123,3.6
boostcamp-sts-v1-test-124,3.5
boostcamp-sts-v1-test-125,1.8
boostcamp-sts-v1-test-126,3.8
boostcamp-sts-v1-test-127,4.9
boostcamp-sts-v1-test-128,4.2
boostcamp-sts-v1-test-129,5.0
boostcamp-sts-v1-test-130,3.4
boostcamp-sts-v1-test-131,4.0
boostcamp-sts-v1-test-132,4.8
boostcamp-sts-v1-test-133,2.4
boostcamp-sts-v1-test-134,5.3
boostcamp-sts-v1-test-135,4.0
boostcamp-sts-v1-test-136,1.2
boostcamp-sts-v1-test-137,4.0
boostcamp-sts-v1-test-138,2.6
boostcamp-sts-v1-test-139,2.4
boostcamp-sts-v1-test-140,4.4
boostcamp-sts-v1-test-141,1.2
boostcamp-sts-v1-test-142,3.2
boostcamp-sts-v1-test-143,4.3
boostcamp-sts-v1-test-144,0.7
boostcamp-sts-v1-test-145,0.5
boostcamp-sts-v1-test-146,0.8
boostcamp-sts-v1-test-147,0.8
boostcamp-sts-v1-test-148,0.5
boostcamp-sts-v1-test-149,4.2
boostcamp-sts-v1-test-150,2.0
boostcamp-sts-v1-test-151,4.9
boostcamp-sts-v1-test-152,2.1
boostcamp-sts-v1-test-153,2.2
boostcamp-sts-v1-test-154,1.1
boostcamp-sts-v1-test-155,0.5
boostcamp-sts-v1-test-156,4.9
boostcamp-sts-v1-test-157,5.2
boostcamp-sts-v1-test-158,4.8
boostcamp-sts-v1-test-159,1.2
boostcamp-sts-v1-test-160,5.0
boostcamp-sts-v1-test-161,0.7
boostcamp-sts-v1-test-162,3.1
boostcamp-sts-v1-test-163,1.2
boostcamp-sts-v1-test-164,3.5
boostcamp-sts-v1-test-165,5.1
boostcamp-sts-v1-test-166,0.7
boostcamp-sts-v1-test-167,4.0
boostcamp-sts-v1-test-168,0.8
boostcamp-sts-v1-test-169,4.3
boostcamp-sts-v1-test-170,3.2
boostcamp-sts-v1-test-171,2.0
boostcamp-sts-v1-test-172,4.4
boostcamp-sts-v1-test-173,1.1
boostcamp-sts-v1-test-174,4.3
boostcamp-sts-v1-test-175,2.2
boostcamp-sts-v1-test-176,0.1
boostcamp-sts-v1-test-177,5.1
boostcamp-sts-v1-test-178,1.6
boostcamp-sts-v1-test-179,4.2
boostcamp-sts-v1-test-180,2.8
boostcamp-sts-v1-test-181,2.6
boostcamp-sts-v1-test-182,2.4
boostcamp-sts-v1-test-183,0.7
boostcamp-sts-v1-test-184,2.5
