id,target
boostcamp-sts-v1-test-000,3.5
boostcamp-sts-v1-test-001,4.6
boostcamp-sts-v1-test-002,2.0
boostcamp-sts-v1-test-003,0.2
boostcamp-sts-v1-test-004,3.6
boostcamp-sts-v1-test-005,3.2
boostcamp-sts-v1-test-006,4.3
boostcamp-sts-v1-test-007,1.4
boostcamp-sts-v1-test-008,0.6
boostcamp-sts-v1-test-009,5.0
boostcamp-sts-v1-test-010,2.3
boostcamp-sts-v1-test-011,2.7
boostcamp-sts-v1-test-012,4.4
boostcamp-sts-v1-test-013,2.2
boostcamp-sts-v1-test-014,1.8
boostcamp-sts-v1-test-015,4.7
boostcamp-sts-v1-test-016,5.0
boostcamp-sts-v1-test-017,2.6
boostcamp-sts-v1-test-018,5.0
boostcamp-sts-v1-test-019,4.6
boostcamp-sts-v1-test-020,3.5
boostcamp-sts-v1-test-021,2.2
boostcamp-sts-v1-test-022,2.8
boostcamp-sts-v1-test-023,0.9
boostcamp-sts-v1-test-024,1.6
boostcamp-sts-v1-test-025,2.2
boostcamp-sts-v1-test-026,1.2
boostcamp-sts-v1-test-027,1.5
boostcamp-sts-v1-test-028,4.4
boostcamp-sts-v1-test-029,3.2
boostcamp-sts-v1-test-030,4.9
boostcamp-sts-v1-test-031,1.0
boostcamp-sts-v1-test-032,2.2
boostcamp-sts-v1-test-033,3.3
boostcamp-sts-v1-test-034,3.0
boostcamp-sts-v1-test-035,1.6
boostcamp-sts-v1-test-036,3.5
boostcamp-sts-v1-test-037,1.5
boostcamp-sts-v1-test-038,1.5
boostcamp-sts-v1-test-039,3.6
boostcamp-sts-v1-test-040,0.5
boostcamp-sts-v1-test-041,4.1
boostcamp-sts-v1-test-042,0.7
boostcamp-sts-v1-test-043,1.4
boostcamp-sts-v1-test-044,2.8
boostcamp-sts-v1-test-045,5.0
boostcamp-sts-v1-test-046,2.2
boostcamp-sts-v1-test-047,1.2
boostcamp-sts-v1-test-048,0.5
boostcamp-sts-v1-test-049,3.7
boostcamp-sts-v1-test-050,0.1
boostcamp-sts-v1-test-051,1.4
boostcamp-sts-v1-test-052,2.5
boostcamp-sts-v1-test-053,3.2
boostcamp-sts-v1-test-054,4.6
boostcamp-sts-v1-test-055,1.3
boostcamp-sts-v1-test-056,4.1
boostcamp-sts-v1-test-057,1.2
boostcamp-sts-v1-test-058,2.2
boostcamp-sts-v1-test-059,4.0
boostcamp-sts-v1-test-060,4.4
boostcamp-sts-v1-test-061,3.9
boostcamp-sts-v1-test-062,1.6
boostcamp-sts-v1-test-063,2.3
boostcamp-sts-v1-test-064,2.2
boostcamp-sts-v1-test-065,4.6
boostcamp-sts-v1-test-066,2.8
boostcamp-sts-v1-test-067,0.7
boostcamp-sts-v1-test-068,2.0
boostcamp-sts-v1-test-069,2.7
boostcamp-sts-v1-test-070,0.8
boostcamp-sts-v1-test-071,3.0
boostcamp-sts-v1-test-072,5.0
boostcamp-sts-v1-test-073,4.8
boostcamp-sts-v1-test-074,0.4
boostcamp-sts-v1-test-075,2.0
boostcamp-sts-v1-test-076,3.8
boostcamp-sts-v1-test-077,2.3
boostcamp-sts-v1-test-078,2.4
boostcamp-sts-v1-test-079,4.2
boostcamp-sts-v1-test-080,2.0
boostcamp-sts-v1-test-081,3.1
boostcamp-sts-v1-test-082,1.5
boostcamp-sts-v1-test-083,2.3
boostcamp-sts-v1-test-084,1.2
boostcamp-sts-v1-test-085,5.0
boostcamp-sts-v1-test-086,4.2
boostcamp-sts-v1-test-087,0.7
boostcamp-sts-v1-test-088,4.4
boostcamp-sts-v1-test-089,4.2
boostcamp-sts-v1-test-090,5.0
boostcamp-sts-v1-test-091,2.8
boostcamp-sts-v1-test-092,0.9
boostcamp-sts-v1-test-093,2.4
boostcamp-sts-v1-test-094,4.3
boostcamp-sts-v1-test-095,1.5
boostcamp-sts-v1-test-096,3.1
boostcamp-sts-v1-test-097,3.5
boostcamp-sts-v1-test-098,0.7
boostcamp-sts-v1-test-099,3.8
boostcamp-sts-v1-test-100,1.6
boostcamp-sts-v1-test-101,5.0
boostcamp-sts-v1-test-102,4.8
boostcamp-sts-v1-test-103,3.8
boostcamp-sts-v1-test-104,4.2
boostcamp-sts-v1-test-105,0.8
boostcamp-sts-v1-test-106,4.1
boostcamp-sts-v1-test-107,3.8
boostcamp-sts-v1-test-108,2.3
boostcamp-sts-v1-test-109,4.0
boostcamp-sts-v1-test-110,3.3
boostcamp-sts-v1-test-111,0.4
boostcamp-sts-v1-test-112,0.1
boostcamp-sts-v1-test-113,3.3
boostcamp-sts-v1-test-114,1.7
boostcamp-sts-v1-test-115,2.5
boostcamp-sts-v1-test-116,0.9
boostcamp-sts-v1-test-117,5.0
boostcamp-sts-v1-test-118,3.2
boostcamp-sts-v1-test-119,3.9
boostcamp-sts-v1-test-120,4.7
boostcamp-sts-v1-test-121,3.0
boostcamp-sts-v1-test-122,3.0
boostcamp-sts-v1-test-123,3.2
boostcamp-sts-v1-test-124,3.4
boostcamp-sts-v1-test-125,1.2
boostcamp-sts-v1-test-126,4.0
boostcamp-sts-v1-test-127,4.7
boostcamp-sts-v1-test-128,4.2
boostcamp-sts-v1-test-129,5.0
boostcamp-sts-v1-test-130,3.0
boostcamp-sts-v1-test-131,4.5
boostcamp-sts-v1-test-132,4.9
boostcamp-sts-v1-test-133,2.4
boostcamp-sts-v1-test-134,5.0
boostcamp-sts-v1-test-135,3.8
boostcamp-sts-v1-test-136,1.0
boostcamp-sts-v1-test-137,3.7
boostcamp-sts-v1-test-138,2.9
boostcamp-sts-v1-test-139,1.6
boostcamp-sts-v1-test-140,4.6
boostcamp-sts-v1-test-141,1.7
boostcamp-sts-v1-test-142,2.8
boostcamp-sts-v1-test-143,5.0
boostcamp-sts-v1-test-144,0.9
boostcamp-sts-v1-test-145,0.2
boostcamp-sts-v1-test-146,0.6
boostcamp-sts-v1-test-147,1.1
boostcamp-sts-v1-test-148,0.8
boostcamp-sts-v1-test-149,4.3
boostcamp-sts-v1-test-150,1.7
boostcamp-sts-v1-test-151,5.0
boostcamp-sts-v1-test-152,1.8
boostcamp-sts-v1-test-153,2.8
boostcamp-sts-v1-test-154,1.2
boostcamp-sts-v1-test-155,0.8
boostcamp-sts-v1-test-156,5.0
boostcamp-sts-v1-test-157,5.0
boostcamp-sts-v1-test-158,4.9
boostcamp-sts-v1-test-159,1.5
boostcamp-sts-v1-test-160,4.4
boostcamp-sts-v1-test-161,2.0
boostcamp-sts-v1-test-162,3.2
boostcamp-sts-v1-test-163,2.1
boostcamp-sts-v1-test-164,3.7
boostcamp-sts-v1-test-165,5.0
boostcamp-sts-v1-test-166,0.5
boostcamp-sts-v1-test-167,4.1
boostcamp-sts-v1-test-168,0.6
boostcamp-sts-v1-test-169,4.4
boostcamp-sts-v1-test-170,3.4
boostcamp-sts-v1-test-171,2.7
boostcamp-sts-v1-test-172,4.8
boostcamp-sts-v1-test-173,1.3
boostcamp-sts-v1-test-174,4.4
boostcamp-sts-v1-test-175,2.3
boostcamp-sts-v1-test-176,0.1
boostcamp-sts-v1-test-177,4.9
boostcamp-sts-v1-test-178,1.1
boostcamp-sts-v1-test-179,4.2
boostcamp-sts-v1-test-180,2.8
boostcamp-sts-v1-test-181,2.3
boostcamp-sts-v1-test-182,2.6
boostcamp-sts-v1-test-183,1.1
boostcamp-sts-v1-test-184,2.3
boostcamp-sts-v1-test-185,4.8
boostcamp-sts-v1-test-186,3.0
boostcamp-sts-v1-test-187,3.8
boostcamp-sts-v1-test-188,0.1
boostcamp-sts-v1-test-189,3.7
boostcamp-sts-v1-test-190,2.6
boostcamp-sts-v1-test-191,1.2
boostcamp-sts-v1-test-192,1.4
boostcamp-sts-v1-test-193,2.5
boostcamp-sts-v1-test-194,2.0
boostcamp-sts-v1-test-195,2.0
boostcamp-sts-v1-test-196,1.3
boostcamp-sts-v1-test-197,4.7
boostcamp-sts-v1-test-198,4.3
boostcamp-sts-v1-test-199,0.9
boostcamp-sts-v1-test-200,3.5
boostcamp-sts-v1-test-201,4.2
boostcamp-sts-v1-test-202,4.9
